[00:00:00.300] 我是納瓦爾
[00:00:02.233] 環顧四周
[00:00:03.833] 你看到了什麼
[00:00:05.700] 繁華的都市
[00:00:07.400] 匆忙的人群
[00:00:09.200] 閃爍的螢幕
[00:00:10.733] 永遠處理不完的消息
[00:00:13.233] 每個人都在奔跑
[00:00:15.200] 但我要告訴你一個殘酷的事實今天
[00:00:18.500] 就像幾千年前一樣
[00:00:20.533] 人類依然只分為兩類
[00:00:22.666] 不是富人和窮人
[00:00:24.400] 不是左派和右派
[00:00:26.433] 甚至不是所謂的精英和大眾
[00:00:29.133] 這個世界只有兩類人奴隸和自由人
[00:00:32.600] 這聽起來很刺耳
[00:00:34.233] 對吧你可能會反駁我
[00:00:36.866] 納瓦爾我有工作
[00:00:39.500] 我有名牌大學的學位
[00:00:41.733] 我開著不錯的車
[00:00:43.600] 我每年有兩周的帶薪假期
[00:00:45.900] 我怎麼可能是奴隸
[00:00:47.833] 任何無法將一天中2/3的時間
[00:00:50.266] 留給自己的人
[00:00:51.866] 本質上就是奴隸
[00:00:53.633] 聽好了
[00:00:55.200] 無論
[00:00:55.466] 你是那個在華爾街運籌帷幄的銀行家
[00:00:58.666] 還是那個在國會大廈裏
[00:01:00.233] 制定法律的政客
[00:01:02.233] 或者
[00:01:02.600] 是那個在象牙塔裏著書立說的學者
[00:01:05.600] 如果你的一天有24小時
[00:01:08.233] 除去睡眠
[00:01:09.666] 醒著的16個小時裏
[00:01:12.000] 你無法掌控其中的11個小時
[00:01:15.233] 如果這些時間是屬於老闆的
[00:01:17.800] 屬於客戶的
[00:01:19.300] 屬於那個不斷震動的手機的
[00:01:21.700] 屬於社會強加給你的社交禮儀的
[00:01:25.000] 那麼你就是穿住名牌西裝的奴隸
[00:01:28.200] 真正的自由從來不是你擁有多少錢
[00:01:32.000] 我認識很多身家過億的窮人
[00:01:34.266] 他們買得起私人飛機
[00:01:36.400] 但買不到
[00:01:37.000] 在週二下午關掉手機
[00:01:39.200] 坐在公園長椅上看雲發呆的一小時
[00:01:42.700] 我們被這個社會
[00:01:43.733] 灌輸了一個巨大的謊言
[00:01:46.233] 這個謊言叫做加法
[00:01:49.133] 但在我看來
[00:01:50.866] 自由的唯一貨幣是時間
[00:01:54.433] 我們不是由我們做了什麼來定義的
[00:01:57.600] 而是由我們拒絕做什麼來定義的
[00:02:00.466] 這不僅僅是一種生活方式的
[00:02:02.233] 選擇這是一種生存的哲學
[00:02:05.633] 我們必須像拿鑿子的雕刻家一樣活著
[00:02:09.133] 而不是像填鴨一樣活著
[00:02:11.866] 想像一下米開朗基羅
[00:02:14.000] 當人們驚歎於大衛像的完美
[00:02:16.866] 問他是如何從一塊粗糙的大理石中
[00:02:19.533] 創造出如此神作時
[00:02:22.033] 他給出了一個足以震動靈魂的答案
[00:02:25.266] 他說大衛一直都在那塊大理石裏
